company_name,col_name,min_cont_length,horizon,model_name,MAE,MdAE,RMSE,MASE,MdASE
B,NormSpend,13,3,lstm8b,0.179975,0.135694,0.240779,0.679565,0.657168
B,NormSpend,13,3,lstm8bf,0.187554,0.143582,0.253482,0.708182,0.695368
B,NormSpend,13,3,lstm8bv,0.184034,0.144939,0.239567,0.694891,0.701941
B,NormSpend,13,3,lstm8f,0.238432,0.148480,0.330872,0.900292,0.719089
B,NormSpend,13,3,naive,0.213991,0.154910,0.295501,0.808007,0.750230
B,NormSpend,13,6,arima3,0.219083,0.164044,0.293293,0.896642,0.882701
B,NormSpend,13,6,arima6,0.248945,0.175346,0.360646,1.018859,0.943517
B,NormSpend,13,6,arma3,0.197464,0.152393,0.262770,0.808163,0.820008
B,NormSpend,13,6,arma6,0.228692,0.173509,0.312629,0.935972,0.933631
B,NormSpend,13,6,flstm32,0.211357,0.135191,0.296285,0.865023,0.727446
B,NormSpend,13,6,flstm32bv,0.230926,0.156409,0.320309,0.945112,0.841616
B,NormSpend,13,6,flstm8,0.208811,0.133169,0.292030,0.854604,0.716565
B,NormSpend,13,6,flstm8bv,0.209810,0.133051,0.293746,0.858691,0.715931
B,NormSpend,13,6,lstm16,0.180647,0.137389,0.242539,0.739336,0.739274
B,NormSpend,13,6,lstm16b,0.179653,0.130786,0.245645,0.735269,0.703742
B,NormSpend,13,6,lstm32,0.180003,0.129007,0.247161,0.736702,0.694171
B,NormSpend,13,6,lstm32b,0.178742,0.135396,0.240589,0.731540,0.728548
B,NormSpend,13,6,lstm32bf,0.188288,0.132637,0.261046,0.770609,0.713702
B,NormSpend,13,6,lstm32bv,0.179064,0.128718,0.245627,0.732858,0.692615
B,NormSpend,13,6,lstm32f,0.211357,0.135191,0.296285,0.865023,0.727446
B,NormSpend,13,6,lstm4,0.181909,0.137597,0.243937,0.744499,0.740393
B,NormSpend,13,6,lstm4b,0.180739,0.140445,0.241068,0.739714,0.755718
B,NormSpend,13,6,lstm8,0.181298,0.136524,0.243954,0.741998,0.734617
B,NormSpend,13,6,lstm8b,0.179574,0.127895,0.247351,0.734945,0.688186
B,NormSpend,13,6,lstm8bf,0.188694,0.157232,0.242886,0.772268,0.846048
B,NormSpend,13,6,lstm8bv,0.181139,0.137903,0.242752,0.741351,0.742041
B,NormSpend,13,6,lstm8f,0.208811,0.133169,0.292030,0.854604,0.716565
B,NormSpend,13,6,naive,0.230852,0.170013,0.312774,0.944811,0.914820
C,NormSpend,13,1,arima3,0.167898,0.119553,0.234312,0.732555,0.681588
C,NormSpend,13,1,arima6,0.194589,0.136894,0.276174,0.849011,0.780454
C,NormSpend,13,1,arma3,0.160878,0.116254,0.223784,0.701927,0.662782
C,NormSpend,13,1,arma6,0.193663,0.137455,0.271794,0.844969,0.783652
C,NormSpend,13,1,flstm32,0.209700,0.145763,0.287253,0.914940,0.831018
C,NormSpend,13,1,flstm8,0.217383,0.149629,0.296431,0.948465,0.853059
C,NormSpend,13,1,flstm8bv,0.196405,0.130172,0.272235,0.856936,0.742130
C,NormSpend,13,1,lstm16,0.147505,0.113610,0.196110,0.643578,0.647710
C,NormSpend,13,1,lstm16b,0.146718,0.112984,0.195769,0.640144,0.644140
C,NormSpend,13,1,lstm32,0.146548,0.112083,0.195697,0.639402,0.639004
C,NormSpend,13,1,lstm32b,0.149578,0.116862,0.196867,0.652624,0.666245
C,NormSpend,13,1,lstm32bf,0.163535,0.111316,0.229448,0.713521,0.634627
C,NormSpend,13,1,lstm32bv,0.145423,0.107550,0.198327,0.634493,0.613158
C,NormSpend,13,1,lstm32f,0.209700,0.145763,0.287253,0.914940,0.831018
C,NormSpend,13,1,lstm4,0.145674,0.110869,0.195354,0.635591,0.632078
C,NormSpend,13,1,lstm4b,0.144715,0.108552,0.195205,0.631407,0.618873
C,NormSpend,13,1,lstm8,0.146849,0.113554,0.195772,0.640716,0.647385
C,NormSpend,13,1,lstm8b,0.145571,0.110904,0.195499,0.635139,0.632282
C,NormSpend,13,1,lstm8bf,0.162680,0.121619,0.223371,0.709789,0.693365
C,NormSpend,13,1,lstm8bv,0.143795,0.106780,0.195653,0.627391,0.608767
